map_id,opportunity_districts,democrat_count,republican_count,median_margin,num_districts,X Value,Y Value
182,2,6,8,-0.08,14,168.95,158.44
183,3,6,8,-0.05,14,169.9,215.97
184,3,5,9,-0.09,14,184.92,115.37
185,3,5,9,-0.1,14,182.7,117.87
186,3,6,8,-0.06,14,172.0,212.33
187,4,6,8,-0.05,14,182.01,214.55
188,2,5,9,-0.1,14,136.61,111.71
189,2,6,8,-0.14,14,150.96,178.1
190,4,4,10,-0.07,14,209.46,117.22
191,4,5,9,-0.02,14,161.63,167.39
192,3,6,8,-0.03,14,166.06,223.28
193,3,5,9,-0.09,14,184.92,115.37
194,4,5,9,-0.07,14,205.94,108.32
195,2,4,10,-0.1,14,142.1,121.28
196,3,6,8,-0.02,14,164.3,226.95
197,3,5,9,-0.06,14,152.54,155.81
198,2,4,10,-0.13,14,135.58,132.28
199,3,4,10,-0.05,14,157.93,169.61
200,3,5,9,-0.07,14,188.85,110.0
201,2,3,11,-0.05,14,112.73,172.4
202,4,6,8,-0.06,14,184.19,210.86
203,3,5,9,-0.05,14,151.34,159.37
204,4,6,8,-0.09,14,221.87,172.18
205,3,5,9,-0.08,14,186.97,112.74
206,3,4,10,-0.05,14,157.93,169.61
207,2,5,9,-0.06,14,110.4,148.69
208,3,7,7,-0.07,14,219.0,178.69
209,4,7,7,-0.05,14,187.59,225.13
210,3,6,8,-0.07,14,211.08,168.0
211,3,6,8,-0.01,14,162.63,230.62
212,3,4,10,-0.07,14,192.81,117.63
213,4,5,9,-0.02,14,161.63,167.39
214,4,7,7,-0.03,14,183.04,232.38
215,3,6,8,-0.07,14,211.08,168.0
216,3,5,9,-0.04,14,150.21,162.96
217,2,5,9,-0.1,14,136.61,111.71
218,3,4,10,-0.09,14,189.68,122.71
219,3,5,9,-0.06,14,152.54,155.81
220,2,5,9,-0.05,14,109.73,151.77
221,2,6,8,-0.05,14,131.5,205.21
222,3,6,8,-0.09,14,208.55,172.69
223,2,5,9,-0.09,14,138.87,108.09
224,4,6,8,-0.08,14,223.5,170.21
225,2,4,10,-0.09,14,143.73,117.56
226,3,7,7,0.0,14,165.56,243.47
227,3,5,9,-0.13,14,174.7,124.22
228,3,6,8,-0.02,14,164.3,226.95
229,2,4,10,-0.1,14,142.1,121.28
230,3,5,9,-0.08,14,186.97,112.74
231,2,5,9,-0.1,14,136.61,111.71
232,3,4,10,-0.11,14,185.79,128.43
233,4,5,9,-0.1,14,199.33,115.89
234,4,4,10,-0.06,14,172.38,161.27
235,3,6,8,-0.06,14,172.0,212.33
236,3,6,8,-0.07,14,211.08,168.0
237,2,5,9,-0.05,14,109.73,151.77
238,2,4,10,-0.11,14,140.23,124.99
239,3,5,9,-0.05,14,151.34,159.37
240,3,6,8,-0.06,14,172.0,212.33
241,3,5,9,-0.08,14,186.97,112.74
242,3,5,9,-0.07,14,188.85,110.0
243,2,6,8,-0.04,14,129.73,208.68
244,3,6,8,-0.07,14,211.08,168.0
245,2,5,9,-0.09,14,138.87,108.09
246,1,5,9,-0.09,14,149.83,111.08
247,3,6,8,-0.06,14,172.0,212.33
248,3,5,9,-0.09,14,184.92,115.37
249,4,6,8,-0.01,14,174.29,229.45
250,3,5,9,-0.09,14,184.92,115.37
251,4,5,9,-0.06,14,167.11,152.35
252,3,6,8,-0.04,14,167.92,219.62
253,3,5,9,-0.05,14,151.34,159.37
254,2,6,8,-0.07,14,169.87,155.53
255,4,7,7,-0.01,14,178.87,239.69
256,4,7,7,-0.01,14,178.87,239.69
257,4,7,7,-0.01,14,178.87,239.69
258,3,6,8,-0.1,14,207.15,174.8
259,4,7,7,-0.03,14,183.04,232.38
260,3,5,9,-0.06,14,152.54,155.81
261,2,6,8,-0.06,14,133.41,201.75
262,3,6,8,-0.01,14,162.63,230.62
263,3,6,8,-0.07,14,211.08,168.0
264,3,5,9,-0.06,14,152.54,155.81
265,2,6,8,-0.08,14,168.95,158.44
266,3,5,9,-0.1,14,182.7,117.87
267,3,6,8,-0.05,14,169.9,215.97
268,3,6,8,-0.09,14,208.55,172.69
269,2,6,8,-0.11,14,162.0,168.45
270,2,5,9,-0.07,14,142.75,100.8
271,2,5,9,-0.08,14,140.91,104.45
272,2,5,9,-0.08,14,140.91,104.45
273,3,5,9,-0.04,14,150.21,162.96
274,4,7,7,-0.01,14,178.87,239.69
275,3,6,8,-0.1,14,207.15,174.8
276,2,5,9,-0.07,14,142.75,100.8
277,3,6,8,-0.04,14,167.92,219.62
278,2,5,9,-0.06,14,110.4,148.69
279,2,6,8,-0.03,14,128.08,212.17
280,4,6,8,-0.07,14,225.03,168.09
281,3,6,8,-0.05,14,169.9,215.97
282,2,6,8,-0.06,14,133.41,201.75
283,5,6,8,-0.03,14,190.5,219.21
284,2,6,8,-0.1,14,165.01,164.94
285,4,8,6,0.01,14,180.15,256.68
286,2,4,10,-0.08,14,145.17,113.84
287,2,7,7,-0.01,14,130.22,226.83
288,2,4,10,-0.1,14,142.1,121.28
289,3,6,8,-0.03,14,166.06,223.28
290,2,5,9,-0.08,14,140.91,104.45
291,4,6,8,-0.06,14,184.19,210.86
292,3,6,8,-0.08,14,209.86,170.42
293,3,6,8,-0.07,14,211.08,168.0
294,4,6,8,-0.07,14,225.03,168.09
295,3,6,8,-0.05,14,169.9,215.97
296,3,6,8,-0.08,14,209.86,170.42
297,2,6,8,-0.03,14,128.08,212.17
298,1,6,8,-0.06,14,150.22,207.67
299,4,7,7,-0.04,14,185.26,228.74
300,3,5,9,-0.07,14,188.85,110.0
301,2,4,10,-0.1,14,142.1,121.28
302,3,6,8,-0.07,14,211.08,168.0
303,3,5,9,-0.11,14,180.27,120.2
304,3,6,8,-0.1,14,207.15,174.8
305,3,6,8,-0.12,14,204.05,178.37
306,3,6,8,-0.04,14,167.92,219.62
307,2,6,8,-0.05,14,131.5,205.21
308,2,5,9,-0.11,14,134.1,115.3
309,2,4,10,-0.13,14,135.58,132.28
310,3,5,9,-0.09,14,184.92,115.37
311,3,6,8,-0.05,14,169.9,215.97
312,2,5,9,-0.08,14,140.91,104.45
313,2,5,9,-0.08,14,140.91,104.45
314,3,5,9,-0.09,14,184.92,115.37
315,3,6,8,-0.07,14,211.08,168.0
316,3,5,9,-0.1,14,182.7,117.87
317,2,4,10,-0.07,14,146.44,110.12
318,3,6,8,-0.09,14,208.55,172.69
319,4,5,9,-0.05,14,165.64,156.09
320,2,6,8,-0.03,14,128.08,212.17
321,3,6,8,-0.04,14,167.92,219.62
322,2,4,10,-0.08,14,145.17,113.84
323,3,5,9,-0.07,14,188.85,110.0
324,4,6,8,-0.06,14,184.19,210.86
325,2,5,9,-0.11,14,134.1,115.3
326,2,4,10,-0.07,14,146.44,110.12
327,2,6,8,-0.1,14,165.01,164.94
328,3,5,9,-0.03,14,149.16,166.57
329,3,5,9,-0.06,14,152.54,155.81
330,3,5,9,-0.08,14,186.97,112.74
